Date,Open,High,Low,Close,Adj Close,Volume
2022-03-29,35956.144531,36548.753906,35956.144531,36252.851563,36252.851563,23980100408
2022-03-30,36246.105469,36295.542969,35702.417969,35822.921875,35822.921875,22328219124
2022-03-31,35822.531250,36171.855469,34523.042969,34639.949219,34639.949219,25351207304
2022-04-01,34651.730469,35563.066406,33831.687500,35292.066406,35292.066406,29100924401
2022-04-02,35295.007813,35861.414063,34909.851563,34975.761719,34975.761719,22369593122
2022-04-03,34968.273438,36103.777344,34796.687500,35448.160156,35448.160156,19393421844
2022-04-04,35441.828125,35679.703125,34531.167969,35555.289063,35555.289063,24784921384
2022-04-05,35556.687500,35880.371094,34828.523438,34837.078125,34837.078125,22666436686
2022-04-06,34828.179688,34828.179688,33049.898438,33059.679688,33059.679688,30141896180
2022-04-07,33060.261719,33528.476563,32805.687500,33287.621094,33287.621094,19972316252
2022-04-08,33288.609375,33721.164063,32360.570313,32440.642578,32440.642578,20878533139
2022-04-09,32436.359375,32823.566406,32360.544922,32819.972656,32819.972656,12313221714
2022-04-10,32819.171875,33273.585938,32234.257813,32392.699219,32392.699219,13549103830
2022-04-11,32387.609375,32563.843750,30216.066406,30348.117188,30348.117188,26069492504
2022-04-12,30357.187500,31133.175781,30242.082031,30861.775391,30861.775391,23835532315
2022-04-13,30858.998047,31590.664063,30550.261719,31380.000000,31380.000000,21107988018
2022-04-14,31375.035156,31543.996094,30348.785156,30562.371094,30562.371094,18628763716
2022-04-15,30565.345703,31097.861328,30515.029297,31051.666016,31051.666016,16659159179
2022-04-16,31050.787109,31113.087891,30687.929688,30952.906250,30952.906250,12889092986
2022-04-17,30947.769531,31064.884766,30349.208984,30420.208984,30420.208984,14619695338
2022-04-18,30423.462891,31501.265625,29709.078125,31382.580078,31382.580078,25908735291
2022-04-19,31384.085938,32063.552734,31231.585938,31893.287109,31893.287109,19444552709
2022-04-20,31892.513672,32268.199219,31376.773438,31663.273438,31663.273438,21289926447
2022-04-21,31661.082031,32844.343750,30747.025391,31116.220703,31116.220703,27158624057
2022-04-22,31115.068359,31330.164063,30613.029297,30951.628906,30951.628906,21816841552
2022-04-23,30950.384766,31103.925781,30649.345703,30754.121094,30754.121094,12569049436
2022-04-24,30747.613281,31033.878906,30556.925781,30767.261719,30767.261719,14003679517
2022-04-25,30769.845703,31786.796875,30094.054688,31762.039063,31762.039063,27826883459
2022-04-26,31754.277344,32002.746094,30110.722656,30296.101563,30296.101563,27475822595
2022-04-27,30298.359375,31356.330078,30215.423828,31293.185547,31293.185547,24706089388
2022-04-28,31293.429688,32336.460938,31335.345703,31908.554688,31908.554688,27199247261
2022-04-29,31904.371094,31917.712891,30413.195313,30724.771484,30724.771484,24575945950
2022-04-30,30721.615234,30835.673828,29982.078125,29995.544922,29995.544922,19004834628
2022-05-01,29994.265625,30721.662109,29892.878906,30606.318359,30606.318359,21483611965
2022-05-02,30608.779297,31149.746094,30586.796875,30824.271484,30824.271484,26338805316
2022-05-03,30823.296875,30778.294922,30075.185547,30203.759766,30203.759766,21864014020
2022-05-04,30201.806641,31745.869141,30183.761719,31464.570313,31464.570313,29131210209
2022-05-05,31462.492188,31666.539063,29014.554688,29585.669922,29585.669922,34868693841
